date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:17	2444/2444	---M--	200	added ('OK')	image/png	etag:%221582b410c0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/24%20x%2024/may.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/24%20x%2024/may.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:18	2304/2304	---M--	200	added ('OK')	image/png	etag:%22a0f6c910c0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/24%20x%2024/ssp.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/24%20x%2024/ssp.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:18	1990/1990	---M--	200	added ('OK')	image/png	etag:%2252e8010c0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/24%20x%2024/cav.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/24%20x%2024/cav.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:19	1742/1742	---M--	200	added ('OK')	image/png	etag:%229a5c8e10c0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/24%20x%2024/cmg.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/24%20x%2024/cmg.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:19	2293/2293	---M--	200	added ('OK')	image/png	etag:%227abdaf10c0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/24%20x%2024/ltu.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/24%20x%2024/ltu.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:20	3823/3823	---M--	200	added ('OK')	image/png	etag:%22285bad10c0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/24%20x%2024/ind.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/24%20x%2024/ind.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:20	2462/2462	---M--	200	added ('OK')	image/png	etag:%22f746b910c0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/24%20x%2024/mtz.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/24%20x%2024/mtz.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:21	1815/1815	---M--	200	added ('OK')	image/png	etag:%229a5c8e10c0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/24%20x%2024/cfg.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/24%20x%2024/cfg.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:21	2496/2496	---M--	200	added ('OK')	image/png	etag:%22c55acc10c0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/24%20x%2024/vcl.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/24%20x%2024/vcl.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:22	2217/2217	---M--	200	added ('OK')	image/png	etag:%22d16ea110c0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/24%20x%2024/hol.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/24%20x%2024/hol.png	(from http://www.beisbolcubano.cu/general/calendario)
